,Name,Date time,Prediction,color_code
376,"Selangor, Malaysia",8/6/2022,23.1943512,#000000
377,"Selangor, Malaysia",9/6/2022,22.98905182,#000000
378,"Selangor, Malaysia",10/6/2022,23.42038345,#000000
379,"Selangor, Malaysia",11/6/2022,23.01140213,#000000
380,"Selangor, Malaysia",12/6/2022,23.22127151,#000000
381,"Selangor, Malaysia",13/6/2022,22.91580772,#000000
382,"Selangor, Malaysia",14/6/2022,23.27532768,#000000
383,"Selangor, Malaysia",15/6/2022,23.12459755,#000000
384,"Selangor, Malaysia",16/6/2022,22.93117142,#000000
385,"Selangor, Malaysia",17/6/2022,23.37371445,#000000
386,"Selangor, Malaysia",18/6/2022,22.97519875,#000000
387,"Selangor, Malaysia",19/6/2022,23.19473457,#000000
388,"Selangor, Malaysia",20/6/2022,22.89807701,#000000
389,"Selangor, Malaysia",21/6/2022,23.26550102,#000000
390,"Selangor, Malaysia",22/6/2022,23.12173462,#000000
391,"Selangor, Malaysia",23/6/2022,22.93431282,#000000
392,"Selangor, Malaysia",24/6/2022,23.38188362,#000000
393,"Selangor, Malaysia",25/6/2022,22.98742294,#000000
394,"Selangor, Malaysia",26/6/2022,23.21004868,#000000
395,"Selangor, Malaysia",27/6/2022,22.91552925,#000000
396,"Selangor, Malaysia",28/6/2022,23.28417397,#000000
397,"Selangor, Malaysia",29/6/2022,23.14074898,#000000
398,"Selangor, Malaysia",30/6/2022,22.9528389,#000000
399,"Selangor, Malaysia",1/7/2022,23.39914131,#000000
400,"Selangor, Malaysia",2/7/2022,23.00270081,#000000
401,"Selangor, Malaysia",3/7/2022,23.2226963,#000000
402,"Selangor, Malaysia",4/7/2022,22.92498016,#000000
403,"Selangor, Malaysia",5/7/2022,23.28993416,#000000
404,"Selangor, Malaysia",6/7/2022,23.14241028,#000000
405,"Selangor, Malaysia",7/7/2022,22.95007324,#000000
406,"Selangor, Malaysia",8/7/2022,23.39171219,#000000
407,"Selangor, Malaysia",9/7/2022,22.99045372,#000000
408,"Selangor, Malaysia",10/7/2022,23.20556259,#000000
409,"Selangor, Malaysia",11/7/2022,22.90297127,#000000
410,"Selangor, Malaysia",12/7/2022,23.26314545,#000000
411,"Selangor, Malaysia",13/7/2022,23.11100578,#000000
412,"Selangor, Malaysia",14/7/2022,22.91429329,#000000
413,"Selangor, Malaysia",15/7/2022,23.35185623,#000000
414,"Selangor, Malaysia",16/7/2022,22.94687653,#000000
415,"Selangor, Malaysia",17/7/2022,23.15867043,#000000
416,"Selangor, Malaysia",18/7/2022,22.85321236,#000000
417,"Selangor, Malaysia",19/7/2022,23.21099472,#000000
418,"Selangor, Malaysia",20/7/2022,23.05696869,#000000
419,"Selangor, Malaysia",21/7/2022,22.858881,#000000
420,"Selangor, Malaysia",22/7/2022,23.29558754,#000000
421,"Selangor, Malaysia",23/7/2022,22.8902626,#000000
422,"Selangor, Malaysia",24/7/2022,23.10220528,#000000
423,"Selangor, Malaysia",25/7/2022,22.7973671,#000000
424,"Selangor, Malaysia",26/7/2022,23.15620422,#000000
425,"Selangor, Malaysia",27/7/2022,23.00362778,#000000
426,"Selangor, Malaysia",28/7/2022,22.80732727,#000000
427,"Selangor, Malaysia",29/7/2022,23.24610519,#000000
428,"Selangor, Malaysia",30/7/2022,22.84306908,#000000
429,"Selangor, Malaysia",31/7/2022,23.05744934,#000000
430,"Selangor, Malaysia",1/8/2022,22.75511742,#000000
431,"Selangor, Malaysia",2/8/2022,23.11645508,#000000
432,"Selangor, Malaysia",3/8/2022,22.96628571,#000000
433,"Selangor, Malaysia",4/8/2022,22.77222061,#000000
434,"Selangor, Malaysia",5/8/2022,23.21297073,#000000
435,"Selangor, Malaysia",6/8/2022,22.81156731,#000000
436,"Selangor, Malaysia",7/8/2022,23.02715492,#000000
437,"Selangor, Malaysia",8/8/2022,22.72552872,#000000
438,"Selangor, Malaysia",9/8/2022,23.08699417,#000000
439,"Selangor, Malaysia",10/8/2022,22.936306,#000000
440,"Selangor, Malaysia",11/8/2022,22.74101257,#000000
441,"Selangor, Malaysia",12/8/2022,23.17977333,#000000
442,"Selangor, Malaysia",13/8/2022,22.77556992,#000000
443,"Selangor, Malaysia",14/8/2022,22.98750687,#000000
444,"Selangor, Malaysia",15/8/2022,22.68135643,#000000
445,"Selangor, Malaysia",16/8/2022,23.03740501,#000000
446,"Selangor, Malaysia",17/8/2022,22.88040161,#000000
